Ticker
WMT UN Equity
CSCO UW Equity
INTC UW Equity
KD UN Equity
AIG UN Equity
ATO UN Equity
MO UN Equity
BOH UN Equity
SNOW UN Equity
LEA UN Equity
IP UN Equity
AFL UN Equity
OPEN UW Equity
CHTR UW Equity
CCK UN Equity
DCI UN Equity
ADM UN Equity
BHF UW Equity
AZO UN Equity
HUBS UN Equity
ALNY UW Equity
TPX UN Equity
CHDN UW Equity
BBY UN Equity
HRB UN Equity
CCL UN Equity
PRI UN Equity
OLN UN Equity
CNXC UW Equity
SCI UN Equity
ZG UW Equity
GLW UN Equity
PVH UN Equity
DE UN Equity
DOV UN Equity
APO UN Equity
SF UN Equity
EMR UN Equity
PLNT UN Equity
THO UN Equity
CTVA UN Equity
FDX UN Equity
MDLZ UW Equity
NEE UN Equity
PYPL UW Equity
GAP UN Equity
PLTR UN Equity
HPE UN Equity
GIS UN Equity
GWW UN Equity
LHX UN Equity
DOC UN Equity
ITW UN Equity
TT UN Equity
IPG UN Equity
K UN Equity
CIEN UN Equity
KSS UN Equity
JEF UN Equity
L UN Equity
LOW UN Equity
MMC UN Equity
FRCB UN Equity
WTW UW Equity
SPGI UN Equity
CVS UN Equity
MU UW Equity
9980328D UN Equity
NKE UN Equity
DD UN Equity
NSC UN Equity
CRUS UW Equity
NOC UN Equity
WFC UN Equity
NUE UN Equity
OXY UN Equity
OMC UN Equity
MRNA UW Equity
PCG UN Equity
AMH UN Equity
CRWD UW Equity
COP UN Equity
FNB UN Equity
PHM UN Equity
PNC UN Equity
FICO UN Equity
RHI UN Equity
MSGS UN Equity
R UN Equity
TWLO UN Equity
SO UN Equity
SWN UN Equity
IDXX UW Equity
COHR UW Equity
TXN UW Equity
TXT UN Equity
REXR UN Equity
TJX UN Equity
JCI UN Equity
UNP UN Equity
UNM UN Equity
MRO UN Equity
GWRE UN Equity
X UN Equity
CHPT UN Equity
PATH UN Equity
WY UN Equity
ADBE UW Equity
DPZ UN Equity
AAPL UW Equity
CMCSA UW Equity
PKG UN Equity
KLAC UW Equity
NDSN UW Equity
NNN UN Equity
PCAR UW Equity
NVR UN Equity
CBSH UW Equity
ODFL UW Equity
MDB UQ Equity
COIN UW Equity
TSN UN Equity
AMAT UW Equity
PDCE UW Equity
NEU UN Equity
CAH UN Equity
UNVR UN Equity
CINF UW Equity
DHI UN Equity
WOLF UN Equity
EA UW Equity
RRX UN Equity
UHS UN Equity
RXO UN Equity
EXPD UW Equity
SWKS UW Equity
MTB UN Equity
FI UW Equity
WIX UW Equity
WELL UN Equity
BIIB UW Equity
RRC UN Equity
J UN Equity
RS UN Equity
SIVBQ UW Equity
ROST UW Equity
PII UN Equity
AN UN Equity
AMG UN Equity
TTWO UW Equity
STT UN Equity
USB UN Equity
GEN UW Equity
TROW UW Equity
WM UN Equity
TECH UW Equity
ZION UW Equity
TRMB UW Equity
MS UN Equity
MCHP UW Equity
JBL UN Equity
ORLY UW Equity
ALL UN Equity
TTEK UW Equity
BWA UN Equity
WBS UN Equity
KBR UN Equity
EMN UN Equity
PRU UN Equity
IAA UN Equity
MCK UN Equity
LMT UN Equity
COR UN Equity
NWSA UW Equity
WAT UN Equity
DLTR UW Equity
NTAP UW Equity
DVA UN Equity
HIG UN Equity
DKNG UW Equity
LYV UN Equity
BYD UN Equity
ARW UN Equity
DGX UN Equity
ROK UN Equity
RL UN Equity
VLO UN Equity
WU UN Equity
CHRW UW Equity
MAN UN Equity
YUM UN Equity
TSCO UW Equity
VRSN UW Equity
HTZ UW Equity
NVDA UW Equity
CPRT UW Equity
LAZ UN Equity
CTSH UW Equity
MTD UN Equity
ISRG UW Equity
EBAY UW Equity
GS UN Equity
EXP UN Equity
BKNG UW Equity
AKAM UW Equity
SLM UW Equity
DVN UN Equity
ESS UN Equity
A UN Equity
9903115D UN Equity
O UN Equity
CI UN Equity
MET UN Equity
AZTA UW Equity
TPR UN Equity
AMP UN Equity
NXST UW Equity
CBRE UN Equity
MA UN Equity
POOL UW Equity
KMX UN Equity
PANW UW Equity
FIS UN Equity
CMG UN Equity
TEAM UW Equity
NRG UN Equity
AMCR UN Equity
DOX UW Equity
GOOG UW Equity
MOS UN Equity
EXPE UW Equity
CF UN Equity
TNL UN Equity
DFS UN Equity
V UN Equity
CAR UW Equity
XYL UN Equity
MPC UN Equity
VSAT UW Equity
MGM UN Equity
TOL UN Equity
VMW UN Equity
UMPQ UW Equity
JBHT UW Equity
LRCX UW Equity
WWD UW Equity
ABMD UW Equity
MANH UW Equity
MRCY UW Equity
QRVO UW Equity
WDC UW Equity
CNC UN Equity
ACI UN Equity
CRI UN Equity
BOKF UW Equity
CPA UN Equity
NOW UN Equity
VAC UN Equity
BPOP UW Equity
FLG UN Equity
RNR UN Equity
NTNX UW Equity
AGL UN Equity
CACC UW Equity
CPRI UN Equity
PENN UW Equity
EG UN Equity
DKS UN Equity
AZEK UN Equity
META UW Equity
PPC UW Equity
NLY UN Equity
GPN UN Equity
FIVN UQ Equity
HZNP UW Equity
SNX UN Equity
CLR UN Equity
AYI UN Equity
AAP UN Equity
JAMF UW Equity
LKQ UW Equity
DLB UN Equity
BURL UN Equity
EQIX UW Equity
CPAY UN Equity
DLR UN Equity
SBNY UW Equity
OMF UN Equity
PYCR UW Equity
MPWR UW Equity
HOOD UW Equity
VIRT UW Equity
ETSY UW Equity
AWK UN Equity
WEX UN Equity
GM UN Equity
DG UN Equity
DINO UN Equity
HCA UN Equity
ORI UN Equity
WH UN Equity
MNST UW Equity
WTM UN Equity
MSCI UN Equity
VVV UN Equity
NBIX UW Equity
FBIN UN Equity
BKR UW Equity
DOCS UN Equity
NVAX UW Equity
UDR UN Equity
FTV UN Equity
HUN UN Equity
UHAL UW Equity
JAZZ UW Equity
ALLY UN Equity
WSM UN Equity
LESL UW Equity
STLD UW Equity
SPLK UW Equity
GTES UN Equity
OVV UN Equity
HWM UN Equity
CTLT UN Equity
SYF UN Equity
ADI UW Equity
AFRM UW Equity
APA UW Equity
BX UN Equity
BILL UN Equity
PCOR UN Equity
BLD UN Equity
CC UN Equity
CABO UN Equity
PSTG UN Equity
CARR UN Equity
OTIS UN Equity
AIRC UN Equity
ULTA UW Equity
ARMK UN Equity
HLT UN Equity
COUP UW Equity
UBER UN Equity
FCNCA UW Equity
AGNC UW Equity
LITE UW Equity
S UN Equity
ESI UN Equity
AON UN Equity
NFE UW Equity
VICI UN Equity
SGFY UN Equity
CCCS UN Equity
MRTX UW Equity
DRVN UW Equity
PLTK UW Equity
ALSN UN Equity
OSH UN Equity
RH UN Equity
PAG UN Equity
WSC UR Equity
WMS UN Equity
AOS UN Equity
HOLX UW Equity
NEWR UN Equity
FNF UN Equity
BLDR UN Equity
ALK UN Equity
WEWKQ UN Equity
IAC UW Equity
MTCH UW Equity
NWS UW Equity
NTRA UW Equity
PCTY UW Equity
HAYW UN Equity
QS UN Equity
COTY UN Equity
U UN Equity
EQH UN Equity
CHH UN Equity
RPRX UW Equity
LYFT UW Equity
UI UN Equity
MAR UW Equity
PTON UW Equity
VSCO UN Equity
TOST UN Equity
MKL UN Equity
INFA UN Equity
UA UN Equity
DT UN Equity
VST UN Equity
QDEL UW Equity
CSGP UW Equity
OC UN Equity
ESAB UN Equity
FOXA UW Equity
FOX UW Equity
MCW UN Equity
RYAN UN Equity
NYT UN Equity
USFD UN Equity
AYX UN Equity
CSX UW Equity
LBRDK UW Equity
LBRDA UW Equity
SRC UN Equity
SOFI UW Equity
FANG UW Equity
W UN Equity
SSRM UW Equity
AGO UN Equity
BG UN Equity
DELL UN Equity
MTG UN Equity
ABNB UW Equity
SMAR UN Equity
GH UW Equity
BC UN Equity
NET UN Equity
POST UN Equity
AR UN Equity
TSLA UW Equity
ZS UW Equity
SSNC UW Equity
VYX UN Equity
Z UW Equity
EVRG UN Equity
BRKR UW Equity
ARE UN Equity
G UN Equity
LSTR UW Equity
PTC UW Equity
H UN Equity
LPX UN Equity
BERY UN Equity
RBLX UN Equity
RUN UW Equity
EXEL UW Equity
STOR UN Equity
PINS UN Equity
WPC UN Equity
ZM UW Equity
DV UN Equity
DBX UW Equity
OWL UN Equity
GMED UN Equity
OKTA UW Equity
ORCL UN Equity
LCID UW Equity
CNM UN Equity
SQ UN Equity
ARES UN Equity
ZEN UN Equity
DH UW Equity
TWKS UW Equity
ST UN Equity
WDAY UW Equity
IPGP UW Equity
LIN UN Equity
AWI UN Equity
LOPE UW Equity
AVT UW Equity
SAIC UN Equity
TMUS UW Equity
